origin,method,horizon_min,actual,pred
2018-01-07 23:55:00,prophet,5,24.10833333333333,37.34073286085302
2018-01-07 23:55:00,prophet,10,35.44918831168831,37.47003651118363
2018-01-07 23:55:00,prophet,15,38.99696969696969,37.59707584087185
2018-01-07 23:55:00,prophet,20,35.289682539682545,37.721605647081525
2018-01-07 23:55:00,prophet,25,36.092063492063495,37.843443357468125
2018-01-07 23:55:00,prophet,30,34.53939393939394,37.96247203094437
2018-01-07 23:55:00,prophet_level_adj,5,24.10833333333333,30.42455115917599
2018-01-07 23:55:00,prophet_level_adj,10,35.44918831168831,30.553854809506603
2018-01-07 23:55:00,prophet_level_adj,15,38.99696969696969,30.680894139194827
2018-01-07 23:55:00,prophet_level_adj,20,35.289682539682545,30.8054239454045
2018-01-07 23:55:00,prophet_level_adj,25,36.092063492063495,30.9272616557911
2018-01-07 23:55:00,prophet_level_adj,30,34.53939393939394,31.046290329267343
2018-01-07 23:55:00,persistence,5,24.10833333333333,25.549242424242426
2018-01-07 23:55:00,persistence,10,35.44918831168831,25.549242424242426
2018-01-07 23:55:00,persistence,15,38.99696969696969,25.549242424242426
2018-01-07 23:55:00,persistence,20,35.289682539682545,25.549242424242426
2018-01-07 23:55:00,persistence,25,36.092063492063495,25.549242424242426
2018-01-07 23:55:00,persistence,30,34.53939393939394,25.549242424242426
2018-01-07 23:55:00,moving_avg_30m,5,24.10833333333333,29.95833934583935
2018-01-07 23:55:00,moving_avg_30m,10,35.44918831168831,29.95833934583935
2018-01-07 23:55:00,moving_avg_30m,15,38.99696969696969,29.95833934583935
2018-01-07 23:55:00,moving_avg_30m,20,35.289682539682545,29.95833934583935
2018-01-07 23:55:00,moving_avg_30m,25,36.092063492063495,29.95833934583935
2018-01-07 23:55:00,moving_avg_30m,30,34.53939393939394,29.95833934583935
2018-01-07 23:55:00,seasonal_naive_24h,5,24.10833333333333,26.86742424242424
2018-01-07 23:55:00,seasonal_naive_24h,10,35.44918831168831,36.28208616780046
2018-01-07 23:55:00,seasonal_naive_24h,15,38.99696969696969,38.31969696969697
2018-01-07 23:55:00,seasonal_naive_24h,20,35.289682539682545,45.51439393939394
2018-01-07 23:55:00,seasonal_naive_24h,25,36.092063492063495,45.37272727272728
2018-01-07 23:55:00,seasonal_naive_24h,30,34.53939393939394,36.01428571428571
2018-01-07 23:55:00,arima_212,5,24.10833333333333,26.896946139844932
2018-01-07 23:55:00,arima_212,10,35.44918831168831,27.550767230307606
2018-01-07 23:55:00,arima_212,15,38.99696969696969,27.864181678765153
2018-01-07 23:55:00,arima_212,20,35.289682539682545,28.01446342153884
2018-01-07 23:55:00,arima_212,25,36.092063492063495,28.086522766378536
2018-01-07 23:55:00,arima_212,30,34.53939393939394,28.121074868316814
2018-01-08 00:25:00,prophet,5,33.07424242424242,37.57677999842268
2018-01-08 00:25:00,prophet,10,29.428458049886626,37.68598300635829
2018-01-08 00:25:00,prophet,15,30.952272727272728,37.79268725326475
2018-01-08 00:25:00,prophet,20,29.14621212121212,37.89705344385104
2018-01-08 00:25:00,prophet,25,28.657369614512472,37.999312957913546
2018-01-08 00:25:00,prophet,30,26.16774891774892,38.099767348793854
2018-01-08 00:25:00,prophet_level_adj,5,33.07424242424242,34.485252673715934
2018-01-08 00:25:00,prophet_level_adj,10,29.428458049886626,34.594455681651546
2018-01-08 00:25:00,prophet_level_adj,15,30.952272727272728,34.701159928558006
2018-01-08 00:25:00,prophet_level_adj,20,29.14621212121212,34.8055261191443
2018-01-08 00:25:00,prophet_level_adj,25,28.657369614512472,34.9077856332068
2018-01-08 00:25:00,prophet_level_adj,30,26.16774891774892,35.00824002408711
2018-01-08 00:25:00,persistence,5,33.07424242424242,34.53939393939394
2018-01-08 00:25:00,persistence,10,29.428458049886626,34.53939393939394
2018-01-08 00:25:00,persistence,15,30.952272727272728,34.53939393939394
2018-01-08 00:25:00,persistence,20,29.14621212121212,34.53939393939394
2018-01-08 00:25:00,persistence,25,28.657369614512472,34.53939393939394
2018-01-08 00:25:00,persistence,30,26.16774891774892,34.53939393939394
2018-01-08 00:25:00,moving_avg_30m,5,33.07424242424242,34.079271885521884
2018-01-08 00:25:00,moving_avg_30m,10,29.428458049886626,34.079271885521884
2018-01-08 00:25:00,moving_avg_30m,15,30.952272727272728,34.079271885521884
2018-01-08 00:25:00,moving_avg_30m,20,29.14621212121212,34.079271885521884
2018-01-08 00:25:00,moving_avg_30m,25,28.657369614512472,34.079271885521884
2018-01-08 00:25:00,moving_avg_30m,30,26.16774891774892,34.079271885521884
2018-01-08 00:25:00,seasonal_naive_24h,5,33.07424242424242,32.01287878787878
2018-01-08 00:25:00,seasonal_naive_24h,10,29.428458049886626,31.82922077922078
2018-01-08 00:25:00,seasonal_naive_24h,15,30.952272727272728,36.843993506493504
2018-01-08 00:25:00,seasonal_naive_24h,20,29.14621212121212,40.33560606060606
2018-01-08 00:25:00,seasonal_naive_24h,25,28.657369614512472,39.63333333333333
2018-01-08 00:25:00,seasonal_naive_24h,30,26.16774891774892,37.17045454545454
2018-01-08 00:25:00,arima_212,5,33.07424242424242,33.66582699258518
2018-01-08 00:25:00,arima_212,10,29.428458049886626,33.22579310852634
2018-01-08 00:25:00,arima_212,15,30.952272727272728,32.99845199400289
2018-01-08 00:25:00,arima_212,20,29.14621212121212,32.87998324861123
2018-01-08 00:25:00,arima_212,25,28.657369614512472,32.818072166358505
2018-01-08 00:25:00,arima_212,30,26.16774891774892,32.78568739192754
2018-01-08 00:55:00,prophet,5,35.2048185941043,36.184885106982364
2018-01-08 00:55:00,prophet,10,31.26462585034014,36.256422014922265
2018-01-08 00:55:00,prophet,15,37.095,36.327727855418374
2018-01-08 00:55:00,prophet,20,37.935833333333335,36.399373461140925
2018-01-08 00:55:00,prophet,25,39.46035353535354,36.47198559993803
2018-01-08 00:55:00,prophet,30,36.33030303030302,36.546242857604476
2018-01-08 00:55:00,prophet_level_adj,5,35.2048185941043,29.832981754837583
2018-01-08 00:55:00,prophet_level_adj,10,31.26462585034014,29.904518662777484
2018-01-08 00:55:00,prophet_level_adj,15,37.095,29.975824503273593
2018-01-08 00:55:00,prophet_level_adj,20,37.935833333333335,30.047470108996144
2018-01-08 00:55:00,prophet_level_adj,25,39.46035353535354,30.12008224779325
2018-01-08 00:55:00,prophet_level_adj,30,36.33030303030302,30.194339505459695
2018-01-08 00:55:00,persistence,5,35.2048185941043,26.16774891774892
2018-01-08 00:55:00,persistence,10,31.26462585034014,26.16774891774892
2018-01-08 00:55:00,persistence,15,37.095,26.16774891774892
2018-01-08 00:55:00,persistence,20,37.935833333333335,26.16774891774892
