origin,method,horizon_min,actual,pred
2025-10-06 23:55:00,prophet,5,31.923547115523693,31.511613490497272
2025-10-06 23:55:00,prophet,10,36.7970039001478,31.980954425516455
2025-10-06 23:55:00,prophet,15,31.072690717544106,32.4497331421104
2025-10-06 23:55:00,prophet,20,31.15543442655423,32.9177186026235
2025-10-06 23:55:00,prophet,25,32.604874954627626,33.384682044877806
2025-10-06 23:55:00,prophet,30,32.21258893565958,33.85039719217965
2025-10-06 23:55:00,prophet_level_adj,5,31.923547115523693,31.74354962577999
2025-10-06 23:55:00,prophet_level_adj,10,36.7970039001478,32.212890560799174
2025-10-06 23:55:00,prophet_level_adj,15,31.072690717544106,32.68166927739311
2025-10-06 23:55:00,prophet_level_adj,20,31.15543442655423,33.14965473790622
2025-10-06 23:55:00,prophet_level_adj,25,32.604874954627626,33.61661818016053
2025-10-06 23:55:00,prophet_level_adj,30,32.21258893565958,34.082333327462365
2025-10-06 23:55:00,persistence,5,31.923547115523693,32.785166819373586
2025-10-06 23:55:00,persistence,10,36.7970039001478,32.785166819373586
2025-10-06 23:55:00,persistence,15,31.072690717544106,32.785166819373586
2025-10-06 23:55:00,persistence,20,31.15543442655423,32.785166819373586
2025-10-06 23:55:00,persistence,25,32.604874954627626,32.785166819373586
2025-10-06 23:55:00,persistence,30,32.21258893565958,32.785166819373586
2025-10-06 23:55:00,moving_avg_30m,5,31.923547115523693,30.1005383568021
2025-10-06 23:55:00,moving_avg_30m,10,36.7970039001478,30.1005383568021
2025-10-06 23:55:00,moving_avg_30m,15,31.072690717544106,30.1005383568021
2025-10-06 23:55:00,moving_avg_30m,20,31.15543442655423,30.1005383568021
2025-10-06 23:55:00,moving_avg_30m,25,32.604874954627626,30.1005383568021
2025-10-06 23:55:00,moving_avg_30m,30,32.21258893565958,30.1005383568021
2025-10-06 23:55:00,seasonal_naive_24h,5,31.923547115523693,29.43936468418397
2025-10-06 23:55:00,seasonal_naive_24h,10,36.7970039001478,31.40555229309242
2025-10-06 23:55:00,seasonal_naive_24h,15,31.072690717544106,28.862492352218464
2025-10-06 23:55:00,seasonal_naive_24h,20,31.15543442655423,24.86290841146862
2025-10-06 23:55:00,seasonal_naive_24h,25,32.604874954627626,30.38591702101798
2025-10-06 23:55:00,seasonal_naive_24h,30,32.21258893565958,27.6654967288276
2025-10-06 23:55:00,arima_212,5,31.923547115523693,30.998293583736334
2025-10-06 23:55:00,arima_212,10,36.7970039001478,29.573120285135804
2025-10-06 23:55:00,arima_212,15,31.072690717544106,31.052731706542847
2025-10-06 23:55:00,arima_212,20,31.15543442655423,29.955161528240737
2025-10-06 23:55:00,arima_212,25,32.604874954627626,30.712859210127853
2025-10-06 23:55:00,arima_212,30,32.21258893565958,30.199968123364204
2025-10-07 00:25:00,prophet,5,35.97998719783446,34.36445496890635
2025-10-07 00:25:00,prophet,10,29.188095204494967,34.82794129909479
2025-10-07 00:25:00,prophet,15,31.33147186470966,35.28952512285299
2025-10-07 00:25:00,prophet,20,31.743023917368863,35.74899155334408
2025-10-07 00:25:00,prophet,25,38.24948618465269,36.20612901504992
2025-10-07 00:25:00,prophet,30,40.98054800195876,36.660729370576924
2025-10-07 00:25:00,prophet_level_adj,5,35.97998719783446,34.26300888573967
2025-10-07 00:25:00,prophet_level_adj,10,29.188095204494967,34.72649521592811
2025-10-07 00:25:00,prophet_level_adj,15,31.33147186470966,35.188079039686315
2025-10-07 00:25:00,prophet_level_adj,20,31.743023917368863,35.6475454701774
2025-10-07 00:25:00,prophet_level_adj,25,38.24948618465269,36.10468293188324
2025-10-07 00:25:00,prophet_level_adj,30,40.98054800195876,36.559283287410246
2025-10-07 00:25:00,persistence,5,35.97998719783446,32.21258893565958
2025-10-07 00:25:00,persistence,10,29.188095204494967,32.21258893565958
2025-10-07 00:25:00,persistence,15,31.33147186470966,32.21258893565958
2025-10-07 00:25:00,persistence,20,31.743023917368863,32.21258893565958
2025-10-07 00:25:00,persistence,25,38.24948618465269,32.21258893565958
2025-10-07 00:25:00,persistence,30,40.98054800195876,32.21258893565958
2025-10-07 00:25:00,moving_avg_30m,5,35.97998719783446,32.627690008342846
2025-10-07 00:25:00,moving_avg_30m,10,29.188095204494967,32.627690008342846
2025-10-07 00:25:00,moving_avg_30m,15,31.33147186470966,32.627690008342846
2025-10-07 00:25:00,moving_avg_30m,20,31.743023917368863,32.627690008342846
2025-10-07 00:25:00,moving_avg_30m,25,38.24948618465269,32.627690008342846
2025-10-07 00:25:00,moving_avg_30m,30,40.98054800195876,32.627690008342846
2025-10-07 00:25:00,seasonal_naive_24h,5,35.97998719783446,28.465490340175272
2025-10-07 00:25:00,seasonal_naive_24h,10,29.188095204494967,32.24105803674629
2025-10-07 00:25:00,seasonal_naive_24h,15,31.33147186470966,34.62608788915405
2025-10-07 00:25:00,seasonal_naive_24h,20,31.743023917368863,31.402768366498474
2025-10-07 00:25:00,seasonal_naive_24h,25,38.24948618465269,32.69140585612503
2025-10-07 00:25:00,seasonal_naive_24h,30,40.98054800195876,37.2955398913376
2025-10-07 00:25:00,arima_212,5,35.97998719783446,32.832442285090075
2025-10-07 00:25:00,arima_212,10,29.188095204494967,31.787924651620372
2025-10-07 00:25:00,arima_212,15,31.33147186470966,32.62455300462878
2025-10-07 00:25:00,arima_212,20,31.743023917368863,32.02280683299279
2025-10-07 00:25:00,arima_212,25,38.24948618465269,32.44496502586651
2025-10-07 00:25:00,arima_212,30,40.98054800195876,32.15064471445763
2025-10-07 00:55:00,prophet,5,35.983316014983465,36.99068456970051
2025-10-07 00:55:00,prophet,10,36.23576423647281,37.43884947879446
2025-10-07 00:55:00,prophet,15,37.395361389917184,37.88395621616406
2025-10-07 00:55:00,prophet,20,41.11102613909807,38.32580918376655
2025-10-07 00:55:00,prophet,25,35.28053143426428,38.76421615977627
2025-10-07 00:55:00,prophet,30,39.211714559744166,39.19898835021121
2025-10-07 00:55:00,prophet_level_adj,5,35.983316014983465,36.171644854832145
2025-10-07 00:55:00,prophet_level_adj,10,36.23576423647281,36.61980976392609
2025-10-07 00:55:00,prophet_level_adj,15,37.395361389917184,37.06491650129569
2025-10-07 00:55:00,prophet_level_adj,20,41.11102613909807,37.506769468898185
2025-10-07 00:55:00,prophet_level_adj,25,35.28053143426428,37.9451764449079
2025-10-07 00:55:00,prophet_level_adj,30,39.211714559744166,38.37994863534284
2025-10-07 00:55:00,persistence,5,35.983316014983465,40.98054800195876
2025-10-07 00:55:00,persistence,10,36.23576423647281,40.98054800195876
2025-10-07 00:55:00,persistence,15,37.395361389917184,40.98054800195876
2025-10-07 00:55:00,persistence,20,41.11102613909807,40.98054800195876
2025-10-07 00:55:00,persistence,25,35.28053143426428,40.98054800195876
2025-10-07 00:55:00,persistence,30,39.211714559744166,40.98054800195876
2025-10-07 00:55:00,moving_avg_30m,5,35.983316014983465,34.578768728503235
2025-10-07 00:55:00,moving_avg_30m,10,36.23576423647281,34.578768728503235
2025-10-07 00:55:00,moving_avg_30m,15,37.395361389917184,34.578768728503235
2025-10-07 00:55:00,moving_avg_30m,20,41.11102613909807,34.578768728503235
2025-10-07 00:55:00,moving_avg_30m,25,35.28053143426428,34.578768728503235
2025-10-07 00:55:00,moving_avg_30m,30,39.211714559744166,34.578768728503235
2025-10-07 00:55:00,seasonal_naive_24h,5,35.983316014983465,33.33297570818324
2025-10-07 00:55:00,seasonal_naive_24h,10,36.23576423647281,40.83521838974927
2025-10-07 00:55:00,seasonal_naive_24h,15,37.395361389917184,35.14358269047107
2025-10-07 00:55:00,seasonal_naive_24h,20,41.11102613909807,28.578883341862152
2025-10-07 00:55:00,seasonal_naive_24h,25,35.28053143426428,36.53235019970486
2025-10-07 00:55:00,seasonal_naive_24h,30,39.211714559744166,35.82379420668227
2025-10-07 00:55:00,arima_212,5,35.983316014983465,35.358453980643844
2025-10-07 00:55:00,arima_212,10,36.23576423647281,35.940207074408136
2025-10-07 00:55:00,arima_212,15,37.395361389917184,36.05947047434652
2025-10-07 00:55:00,arima_212,20,41.11102613909807,35.89068038370791
2025-10-07 00:55:00,arima_212,25,35.28053143426428,36.02453847334103
2025-10-07 00:55:00,arima_212,30,39.211714559744166,35.926651455082336
2025-10-07 01:25:00,prophet,5,41.85283988781738,39.55543334330539
2025-10-07 01:25:00,prophet,10,40.857598591847896,39.981871376708966
2025-10-07 01:25:00,prophet,15,40.34636852945189,40.40417810668934
2025-10-07 01:25:00,prophet,20,43.20011871043198,40.82217822734401
2025-10-07 01:25:00,prophet,25,32.50250201760164,41.2356996575469
2025-10-07 01:25:00,prophet,30,43.05671958828784,41.64457352711995
2025-10-07 01:25:00,prophet_level_adj,5,41.85283988781738,39.06356097144701
2025-10-07 01:25:00,prophet_level_adj,10,40.857598591847896,39.48999900485059
2025-10-07 01:25:00,prophet_level_adj,15,40.34636852945189,39.912305734830966
2025-10-07 01:25:00,prophet_level_adj,20,43.20011871043198,40.33030585548563
2025-10-07 01:25:00,prophet_level_adj,25,32.50250201760164,40.743827285688525
2025-10-07 01:25:00,prophet_level_adj,30,43.05671958828784,41.152701155261575
2025-10-07 01:25:00,persistence,5,41.85283988781738,39.211714559744166
2025-10-07 01:25:00,persistence,10,40.857598591847896,39.211714559744166
2025-10-07 01:25:00,persistence,15,40.34636852945189,39.211714559744166
2025-10-07 01:25:00,persistence,20,43.20011871043198,39.211714559744166
2025-10-07 01:25:00,persistence,25,32.50250201760164,39.211714559744166
2025-10-07 01:25:00,persistence,30,43.05671958828784,39.211714559744166
2025-10-07 01:25:00,moving_avg_30m,5,41.85283988781738,37.53628562908
2025-10-07 01:25:00,moving_avg_30m,10,40.857598591847896,37.53628562908
2025-10-07 01:25:00,moving_avg_30m,15,40.34636852945189,37.53628562908
2025-10-07 01:25:00,moving_avg_30m,20,43.20011871043198,37.53628562908
2025-10-07 01:25:00,moving_avg_30m,25,32.50250201760164,37.53628562908
2025-10-07 01:25:00,moving_avg_30m,30,43.05671958828784,37.53628562908
2025-10-07 01:25:00,seasonal_naive_24h,5,41.85283988781738,38.95421672436763
2025-10-07 01:25:00,seasonal_naive_24h,10,40.857598591847896,37.50559495741144
2025-10-07 01:25:00,seasonal_naive_24h,15,40.34636852945189,35.46803749429545
2025-10-07 01:25:00,seasonal_naive_24h,20,43.20011871043198,32.60393827466214
2025-10-07 01:25:00,seasonal_naive_24h,25,32.50250201760164,36.03907655080544
2025-10-07 01:25:00,seasonal_naive_24h,30,43.05671958828784,34.49959891108228
2025-10-07 01:25:00,arima_212,5,41.85283988781738,38.46851496083926
2025-10-07 01:25:00,arima_212,10,40.857598591847896,37.31885050521413
2025-10-07 01:25:00,arima_212,15,40.34636852945189,38.41195084006029
2025-10-07 01:25:00,arima_212,20,43.20011871043198,37.58330168133201
2025-10-07 01:25:00,arima_212,25,32.50250201760164,38.18633171230463
2025-10-07 01:25:00,arima_212,30,43.05671958828784,37.751255272572784
2025-10-07 01:55:00,prophet,5,39.46725423231949,42.01672389844353
2025-10-07 01:55:00,prophet,10,36.33928199015452,42.41543334281502
2025-10-07 01:55:00,prophet,15,43.76162071799415,42.80904104225564
2025-10-07 01:55:00,prophet,20,46.74077707554058,43.19739171022748
2025-10-07 01:55:00,prophet,25,42.594026574545104,43.580332918687446
2025-10-07 01:55:00,prophet,30,46.24617698828296,43.95771504924346
2025-10-07 01:55:00,prophet_level_adj,5,39.46725423231949,41.74240601387603
2025-10-07 01:55:00,prophet_level_adj,10,36.33928199015452,42.14111545824752
2025-10-07 01:55:00,prophet_level_adj,15,43.76162071799415,42.53472315768814
2025-10-07 01:55:00,prophet_level_adj,20,46.74077707554058,42.923073825659976
2025-10-07 01:55:00,prophet_level_adj,25,42.594026574545104,43.306015034119945
2025-10-07 01:55:00,prophet_level_adj,30,46.24617698828296,43.68339716467596
2025-10-07 01:55:00,persistence,5,39.46725423231949,43.05671958828784
2025-10-07 01:55:00,persistence,10,36.33928199015452,43.05671958828784
2025-10-07 01:55:00,persistence,15,43.76162071799415,43.05671958828784
2025-10-07 01:55:00,persistence,20,46.74077707554058,43.05671958828784
2025-10-07 01:55:00,persistence,25,42.594026574545104,43.05671958828784
2025-10-07 01:55:00,persistence,30,46.24617698828296,43.05671958828784
2025-10-07 01:55:00,moving_avg_30m,5,39.46725423231949,40.30269122090644
2025-10-07 01:55:00,moving_avg_30m,10,36.33928199015452,40.30269122090644
2025-10-07 01:55:00,moving_avg_30m,15,43.76162071799415,40.30269122090644
2025-10-07 01:55:00,moving_avg_30m,20,46.74077707554058,40.30269122090644
2025-10-07 01:55:00,moving_avg_30m,25,42.594026574545104,40.30269122090644
2025-10-07 01:55:00,moving_avg_30m,30,46.24617698828296,40.30269122090644
2025-10-07 01:55:00,seasonal_naive_24h,5,39.46725423231949,35.69012138833452
2025-10-07 01:55:00,seasonal_naive_24h,10,36.33928199015452,39.57329500730136
2025-10-07 01:55:00,seasonal_naive_24h,15,43.76162071799415,43.1882992992084
2025-10-07 01:55:00,seasonal_naive_24h,20,46.74077707554058,39.72860799649648
2025-10-07 01:55:00,seasonal_naive_24h,25,42.594026574545104,35.31775959678484
2025-10-07 01:55:00,seasonal_naive_24h,30,46.24617698828296,40.59466856070424
2025-10-07 01:55:00,arima_212,5,39.46725423231949,40.8879244819461
2025-10-07 01:55:00,arima_212,10,36.33928199015452,38.57080322237327
2025-10-07 01:55:00,arima_212,15,43.76162071799415,40.93175365316832
2025-10-07 01:55:00,arima_212,20,46.74077707554058,39.15462606666688
2025-10-07 01:55:00,arima_212,25,42.594026574545104,40.40666718051964
2025-10-07 01:55:00,arima_212,30,46.24617698828296,39.540359844555006
2025-10-07 02:25:00,prophet,5,48.60001088877906,44.31935152702695
2025-10-07 02:25:00,prophet,10,48.07781745186142,44.68584126074993
2025-10-07 02:25:00,prophet,15,49.41697728924774,45.04637071116739
2025-10-07 02:25:00,prophet,20,47.08142667873484,45.4007986095425
2025-10-07 02:25:00,prophet,25,45.43309869307064,45.748986092071995
2025-10-07 02:25:00,prophet,30,40.74629213656721,46.09079667158352
2025-10-07 02:25:00,prophet_level_adj,5,48.60001088877906,43.86012918731446
2025-10-07 02:25:00,prophet_level_adj,10,48.07781745186142,44.22661892103744
2025-10-07 02:25:00,prophet_level_adj,15,49.41697728924774,44.5871483714549
2025-10-07 02:25:00,prophet_level_adj,20,47.08142667873484,44.94157626983001
2025-10-07 02:25:00,prophet_level_adj,25,45.43309869307064,45.289763752359505
2025-10-07 02:25:00,prophet_level_adj,30,40.74629213656721,45.63157433187103
2025-10-07 02:25:00,persistence,5,48.60001088877906,46.24617698828296
2025-10-07 02:25:00,persistence,10,48.07781745186142,46.24617698828296
2025-10-07 02:25:00,persistence,15,49.41697728924774,46.24617698828296
2025-10-07 02:25:00,persistence,20,47.08142667873484,46.24617698828296
2025-10-07 02:25:00,persistence,25,45.43309869307064,46.24617698828296
2025-10-07 02:25:00,persistence,30,40.74629213656721,46.24617698828296
2025-10-07 02:25:00,moving_avg_30m,5,48.60001088877906,42.52485626313946
2025-10-07 02:25:00,moving_avg_30m,10,48.07781745186142,42.52485626313946
2025-10-07 02:25:00,moving_avg_30m,15,49.41697728924774,42.52485626313946
2025-10-07 02:25:00,moving_avg_30m,20,47.08142667873484,42.52485626313946
2025-10-07 02:25:00,moving_avg_30m,25,45.43309869307064,42.52485626313946
2025-10-07 02:25:00,moving_avg_30m,30,40.74629213656721,42.52485626313946
2025-10-07 02:25:00,seasonal_naive_24h,5,48.60001088877906,43.20067442637325
2025-10-07 02:25:00,seasonal_naive_24h,10,48.07781745186142,38.12565221904447
2025-10-07 02:25:00,seasonal_naive_24h,15,49.41697728924774,39.89130862771029
2025-10-07 02:25:00,seasonal_naive_24h,20,47.08142667873484,40.66976164759318
2025-10-07 02:25:00,seasonal_naive_24h,25,45.43309869307064,38.59715922078114
2025-10-07 02:25:00,seasonal_naive_24h,30,40.74629213656721,43.21651812634537
2025-10-07 02:25:00,arima_212,5,48.60001088877906,44.29221408493249
2025-10-07 02:25:00,arima_212,10,48.07781745186142,43.17960479360279
2025-10-07 02:25:00,arima_212,15,49.41697728924774,44.43156697755993
2025-10-07 02:25:00,arima_212,20,47.08142667873484,43.478511730653096
2025-10-07 02:25:00,arima_212,25,45.43309869307064,44.14828821747961
2025-10-07 02:25:00,arima_212,30,40.74629213656721,43.687667240897625
2025-10-07 02:55:00,prophet,5,45.15288034747557,46.5409996168351
2025-10-07 02:55:00,prophet,10,43.69354406012828,46.86955397675427
2025-10-07 02:55:00,prophet,15,53.06152038114916,47.19122947008485
2025-10-07 02:55:00,prophet,20,46.33949334806493,47.50590284564849
2025-10-07 02:55:00,prophet,25,47.54813510187231,47.81345371398788
2025-10-07 02:55:00,prophet,30,49.137122616112165,48.11376451999734
2025-10-07 02:55:00,prophet_level_adj,5,45.15288034747557,47.77070255633143
2025-10-07 02:55:00,prophet_level_adj,10,43.69354406012828,48.099256916250596
2025-10-07 02:55:00,prophet_level_adj,15,53.06152038114916,48.42093240958117
2025-10-07 02:55:00,prophet_level_adj,20,46.33949334806493,48.73560578514481
2025-10-07 02:55:00,prophet_level_adj,25,47.54813510187231,49.0431566534842
2025-10-07 02:55:00,prophet_level_adj,30,49.137122616112165,49.34346745949367
2025-10-07 02:55:00,persistence,5,45.15288034747557,40.74629213656721
2025-10-07 02:55:00,persistence,10,43.69354406012828,40.74629213656721
2025-10-07 02:55:00,persistence,15,53.06152038114916,40.74629213656721
2025-10-07 02:55:00,persistence,20,46.33949334806493,40.74629213656721
2025-10-07 02:55:00,persistence,25,47.54813510187231,40.74629213656721
2025-10-07 02:55:00,persistence,30,49.137122616112165,40.74629213656721
2025-10-07 02:55:00,moving_avg_30m,5,45.15288034747557,46.55927052304349
2025-10-07 02:55:00,moving_avg_30m,10,43.69354406012828,46.55927052304349
2025-10-07 02:55:00,moving_avg_30m,15,53.06152038114916,46.55927052304349
2025-10-07 02:55:00,moving_avg_30m,20,46.33949334806493,46.55927052304349
2025-10-07 02:55:00,moving_avg_30m,25,47.54813510187231,46.55927052304349
2025-10-07 02:55:00,moving_avg_30m,30,49.137122616112165,46.55927052304349
2025-10-07 02:55:00,seasonal_naive_24h,5,45.15288034747557,41.22216907897523
2025-10-07 02:55:00,seasonal_naive_24h,10,43.69354406012828,43.15031319069298
2025-10-07 02:55:00,seasonal_naive_24h,15,53.06152038114916,39.52916209551932
2025-10-07 02:55:00,seasonal_naive_24h,20,46.33949334806493,41.17226500700525
2025-10-07 02:55:00,seasonal_naive_24h,25,47.54813510187231,44.93772518220879
2025-10-07 02:55:00,seasonal_naive_24h,30,49.137122616112165,41.930827592768
2025-10-07 02:55:00,arima_212,5,45.15288034747557,45.03385863391664
2025-10-07 02:55:00,arima_212,10,43.69354406012828,45.04259085236853
2025-10-07 02:55:00,arima_212,15,53.06152038114916,44.513202981832315
2025-10-07 02:55:00,arima_212,20,46.33949334806493,44.981743766025126
2025-10-07 02:55:00,arima_212,25,47.54813510187231,44.6305234661178
2025-10-07 02:55:00,arima_212,30,49.137122616112165,44.8850753777435
2025-10-07 03:25:00,prophet,5,47.91026358465665,48.440575423327395
2025-10-07 03:25:00,prophet,10,53.15391464881925,48.72647867388603
2025-10-07 03:25:00,prophet,15,46.48250941573699,49.00479134727858
2025-10-07 03:25:00,prophet,20,49.20824535141364,49.27540666458556
2025-10-07 03:25:00,prophet,25,46.66312875514862,49.53822068619227
2025-10-07 03:25:00,prophet,30,45.18862884364772,49.79313231419531
2025-10-07 03:25:00,prophet_level_adj,5,47.91026358465665,48.557927270365084
2025-10-07 03:25:00,prophet_level_adj,10,53.15391464881925,48.84383052092372
2025-10-07 03:25:00,prophet_level_adj,15,46.48250941573699,49.122143194316266
2025-10-07 03:25:00,prophet_level_adj,20,49.20824535141364,49.39275851162325
2025-10-07 03:25:00,prophet_level_adj,25,46.66312875514862,49.65557253322996
2025-10-07 03:25:00,prophet_level_adj,30,45.18862884364772,49.910484161233
2025-10-07 03:25:00,persistence,5,47.91026358465665,49.137122616112165
2025-10-07 03:25:00,persistence,10,53.15391464881925,49.137122616112165
2025-10-07 03:25:00,persistence,15,46.48250941573699,49.137122616112165
2025-10-07 03:25:00,persistence,20,49.20824535141364,49.137122616112165
2025-10-07 03:25:00,persistence,25,46.66312875514862,49.137122616112165
2025-10-07 03:25:00,persistence,30,45.18862884364772,49.137122616112165
2025-10-07 03:25:00,moving_avg_30m,5,47.91026358465665,47.48878264246707
2025-10-07 03:25:00,moving_avg_30m,10,53.15391464881925,47.48878264246707
2025-10-07 03:25:00,moving_avg_30m,15,46.48250941573699,47.48878264246707
2025-10-07 03:25:00,moving_avg_30m,20,49.20824535141364,47.48878264246707
2025-10-07 03:25:00,moving_avg_30m,25,46.66312875514862,47.48878264246707
2025-10-07 03:25:00,moving_avg_30m,30,45.18862884364772,47.48878264246707
2025-10-07 03:25:00,seasonal_naive_24h,5,47.91026358465665,48.50163757011359
2025-10-07 03:25:00,seasonal_naive_24h,10,53.15391464881925,42.385801273795074
2025-10-07 03:25:00,seasonal_naive_24h,15,46.48250941573699,44.51514808211803
2025-10-07 03:25:00,seasonal_naive_24h,20,49.20824535141364,46.88754980049401
2025-10-07 03:25:00,seasonal_naive_24h,25,46.66312875514862,40.07554560788706
2025-10-07 03:25:00,seasonal_naive_24h,30,45.18862884364772,39.28115051638828
2025-10-07 03:25:00,arima_212,5,47.91026358465665,47.00288993126834
2025-10-07 03:25:00,arima_212,10,53.15391464881925,48.180745906733705
2025-10-07 03:25:00,arima_212,15,46.48250941573699,47.332023679714155
2025-10-07 03:25:00,arima_212,20,49.20824535141364,47.98174332937987
2025-10-07 03:25:00,arima_212,25,46.66312875514862,47.47875193256441
2025-10-07 03:25:00,arima_212,30,45.18862884364772,47.86892847564693
2025-10-07 03:55:00,prophet,5,47.5634734252637,49.99014502583802
2025-10-07 03:55:00,prophet,10,49.529577072707646,50.22901045476092
2025-10-07 03:55:00,prophet,15,48.586407913856014,50.459792234754005
2025-10-07 03:55:00,prophet,20,48.02230101286163,50.68240087478193
2025-10-07 03:55:00,prophet,25,46.09738906985776,50.89674922787805
2025-10-07 03:55:00,prophet,30,50.275240359122975,51.10275253308686
2025-10-07 03:55:00,prophet_level_adj,5,47.5634734252637,49.01061550561185
2025-10-07 03:55:00,prophet_level_adj,10,49.529577072707646,49.24948093453475
2025-10-07 03:55:00,prophet_level_adj,15,48.586407913856014,49.48026271452784
2025-10-07 03:55:00,prophet_level_adj,20,48.02230101286163,49.70287135455577
2025-10-07 03:55:00,prophet_level_adj,25,46.09738906985776,49.91721970765188
2025-10-07 03:55:00,prophet_level_adj,30,50.275240359122975,50.12322301286069
2025-10-07 03:55:00,persistence,5,47.5634734252637,45.18862884364772
2025-10-07 03:55:00,persistence,10,49.529577072707646,45.18862884364772
2025-10-07 03:55:00,persistence,15,48.586407913856014,45.18862884364772
2025-10-07 03:55:00,persistence,20,48.02230101286163,45.18862884364772
2025-10-07 03:55:00,persistence,25,46.09738906985776,45.18862884364772
2025-10-07 03:55:00,persistence,30,50.275240359122975,45.18862884364772
2025-10-07 03:55:00,moving_avg_30m,5,47.5634734252637,48.10111509990381
2025-10-07 03:55:00,moving_avg_30m,10,49.529577072707646,48.10111509990381
2025-10-07 03:55:00,moving_avg_30m,15,48.586407913856014,48.10111509990381
2025-10-07 03:55:00,moving_avg_30m,20,48.02230101286163,48.10111509990381
2025-10-07 03:55:00,moving_avg_30m,25,46.09738906985776,48.10111509990381
2025-10-07 03:55:00,moving_avg_30m,30,50.275240359122975,48.10111509990381
2025-10-07 03:55:00,seasonal_naive_24h,5,47.5634734252637,40.21150116016666
2025-10-07 03:55:00,seasonal_naive_24h,10,49.529577072707646,48.79296880590386
2025-10-07 03:55:00,seasonal_naive_24h,15,48.586407913856014,43.55813984676384
2025-10-07 03:55:00,seasonal_naive_24h,20,48.02230101286163,53.08846345527248
2025-10-07 03:55:00,seasonal_naive_24h,25,46.09738906985776,43.91283378671548
2025-10-07 03:55:00,seasonal_naive_24h,30,50.275240359122975,46.34241135520817
2025-10-07 03:55:00,arima_212,5,47.5634734252637,47.613673143796916
2025-10-07 03:55:00,arima_212,10,49.529577072707646,47.08895347286942
2025-10-07 03:55:00,arima_212,15,48.586407913856014,47.258737169963965
2025-10-07 03:55:00,arima_212,20,48.02230101286163,47.16979565884383
2025-10-07 03:55:00,arima_212,25,46.09738906985776,47.230134942495866
2025-10-07 03:55:00,arima_212,30,50.275240359122975,47.18576707135323
2025-10-07 04:25:00,prophet,5,46.20996374861271,50.9635209222117
2025-10-07 04:25:00,prophet,10,53.19513094902467,51.14965051919557
2025-10-07 04:25:00,prophet,15,51.34431329855309,51.32736413500767
2025-10-07 04:25:00,prophet,20,46.89748994050666,51.4965866319306
2025-10-07 04:25:00,prophet,25,50.506717903719135,51.65724464418463
2025-10-07 04:25:00,prophet,30,49.33306207977135,51.80926668553104
2025-10-07 04:25:00,prophet_level_adj,5,46.20996374861271,49.07408820889673
2025-10-07 04:25:00,prophet_level_adj,10,53.19513094902467,49.2602178058806
2025-10-07 04:25:00,prophet_level_adj,15,51.34431329855309,49.4379314216927
2025-10-07 04:25:00,prophet_level_adj,20,46.89748994050666,49.60715391861563
2025-10-07 04:25:00,prophet_level_adj,25,50.506717903719135,49.76781193086966
